question,type,database
What are the top 5 products managed by the Haiti Field Office?,Simple Retrieval Queries,neo4j
"List the top 3 products with a molecule test type of 'HIV 1/2, Determine Complete HIV Kit'.",Simple Retrieval Queries,neo4j
Which 3 products have a pack price greater than 50?,Simple Retrieval Queries,neo4j
Identify the top 5 countries where products with a line item quantity greater than 100 are shipped.,Simple Retrieval Queries,neo4j
Which vendors supply the top 3 products with the highest pack prices?,Simple Retrieval Queries,neo4j
What are the top 3 brands associated with products managed by the PMO - US office?,Simple Retrieval Queries,neo4j
List the top 3 product groups associated with products having a unit of measure per pack greater than 50.,Simple Retrieval Queries,neo4j
Which 3 sub classes are assigned to products with a shipment number starting with 'ASN'?,Simple Retrieval Queries,neo4j
Which products with a price quote of 'Pre-PQ Process' are managed by the South Africa Field Office?,Simple Retrieval Queries,neo4j
List the top 5 products with a line item quantity less than 300.,Simple Retrieval Queries,neo4j
What are the top 3 countries linked by WEIGHT relationship to products with a molecule test type of 'HIV'?,Simple Retrieval Queries,neo4j
Which 3 offices manage products with a project code like '102-%'?,Simple Retrieval Queries,neo4j
Identify the top 3 products under the product group 'ARV' managed by any office.,Simple Retrieval Queries,neo4j
What are the top 3 brands of products that have a 'Pediatric' subclass?,Simple Retrieval Queries,neo4j
Which vendors are linked to the top 3 products having an item description that includes 'tablets'?,Simple Retrieval Queries,neo4j
List the top 5 product groups for products with a shipment number ending in '-128'.,Simple Retrieval Queries,neo4j
Which 3 sub classes are most common among products with a line item quantity over 500?,Simple Retrieval Queries,neo4j
List the top 3 countries where products with a 'HIV test' subclass are shipped.,Simple Retrieval Queries,neo4j
What are the names of the top 3 vendors who supply products to the Ethiopia Field Office?,Simple Retrieval Queries,neo4j
Which offices manage the top 5 products with the highest pack prices?,Simple Retrieval Queries,neo4j
Identify the top 3 brands linked to products with a molecule test type including 'HIV'.,Simple Retrieval Queries,neo4j
Which 3 product groups are most frequently associated with products having a pack price less than 30?,Simple Retrieval Queries,neo4j
List the top 3 sub classes for products with a price quote status of 'Pre-PQ Process'.,Simple Retrieval Queries,neo4j
What are the top 3 countries receiving products with a unit of measure per pack of 60?,Simple Retrieval Queries,neo4j
Which 3 vendors supply products that are managed by the Haiti Field Office?,Simple Retrieval Queries,neo4j
Identify the top 3 products from the 'ANTM' product group managed by any office.,Simple Retrieval Queries,neo4j
What are the top 3 brands associated with the most expensive products based on pack price?,Simple Retrieval Queries,neo4j
Which 3 offices manage the most products with a shipment number starting with 'DN'?,Simple Retrieval Queries,neo4j
List the top 5 product groups for products with a molecule test type that includes 'Abacavir'.,Simple Retrieval Queries,neo4j
Which 3 sub classes are linked to the most products with a project code starting with '100-CI'?,Simple Retrieval Queries,neo4j
What are the top 3 countries linked to products with a pack price of 44.05?,Simple Retrieval Queries,neo4j
Which 3 vendors supply products with the highest line item quantities?,Simple Retrieval Queries,neo4j
Identify the top 3 brands linked to products managed by the South Africa Field Office.,Simple Retrieval Queries,neo4j
Which 3 product groups are linked to products with an item description including 'HIV Kit'?,Simple Retrieval Queries,neo4j
List the top 5 sub classes for products managed by the PMO - US office.,Simple Retrieval Queries,neo4j
What are the names of the top 3 vendors supplying products to countries with a shipment number like 'ASN-%'?,Simple Retrieval Queries,neo4j
Which offices manage the top 5 products with the smallest unit of measure per pack?,Simple Retrieval Queries,neo4j
Identify the top 3 brands of products that have a project code like '102-%'.,Simple Retrieval Queries,neo4j
Which 3 product groups are most frequently linked to products with a line item quantity less than 200?,Simple Retrieval Queries,neo4j
List the top 3 sub classes for products with a shipment number ending in '-71'.,Simple Retrieval Queries,neo4j
What are the top 3 countries receiving products with a molecule test type of 'Abacavir'?,Simple Retrieval Queries,neo4j
Which 3 vendors supply products with a price quote of 'Pre-PQ Process'?,Simple Retrieval Queries,neo4j
